en,ja,de,fr
Eorzea Database,エオルゼアデータベース,Eorzea-Datenbank,Base de données d'Éorzéa
"FINAL FANTASY XIV, The Lodestone","FINAL FANTASY XIV, The Lodestone","FINAL FANTASY XIV - Der Lodestone","FINAL FANTASY XIV : The Lodestone"
